Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,FG%,3P%,2P%,eFG%,FT%,PF,Target
1981.0,Kareem Abdul-Jabbar,C,33.0,LAL,80.0,2976.0,25.5,0.616,0.001,0.379,7.6,21.5,13.6,0.9,4.0,12.8,26.3,9.6,4.6,14.3,0.23,3.9,1.4,0.574,0.0,0.574,0.574,0.766,244.0,10.7
1981.0,Tiny Archibald,PG,32.0,BOS,80.0,2820.0,14.3,0.582,0.012,0.547,1.5,5.4,28.5,1.3,0.4,21.8,17.5,4.6,2.3,6.9,0.118,0.4,-1.6,0.499,0.0,0.505,0.499,0.816,201.0,5.2
1981.0,Henry Bibby,PG,31.0,SDC,73.0,1112.0,10.6,0.48,0.31,0.32,2.5,5.4,23.2,2.0,0.1,17.9,15.6,0.5,0.5,1.0,0.043,-1.4,-2.3,0.386,0.337,0.408,0.438,0.684,85.0,
1981.0,Ron Boone,SG,34.0,UTA,52.0,1146.0,9.0,0.492,0.105,0.253,1.7,6.6,19.9,1.4,0.4,21.2,19.7,-0.8,0.2,-0.6,-0.025,-3.4,-2.8,0.431,0.282,0.449,0.446,0.798,126.0,
1981.0,Fred Brown,SG,32.0,SEA,78.0,1986.0,18.3,0.535,0.062,0.201,3.0,6.6,19.9,2.1,0.4,10.4,25.8,3.5,1.8,5.2,0.127,2.2,-1.8,0.488,0.359,0.496,0.499,0.832,141.0,3.9
1981.0,Don Buse,SG,30.0,IND,58.0,1095.0,11.7,0.471,0.202,0.226,1.8,6.7,16.4,3.2,0.4,10.7,12.9,0.9,1.2,2.0,0.089,-1.0,0.1,0.397,0.328,0.415,0.43,0.769,61.0,7.1
1981.0,Jim Chones,PF,31.0,LAL,82.0,2562.0,11.8,0.528,0.005,0.257,8.1,19.1,7.4,0.7,2.0,16.0,15.6,1.5,3.2,4.7,0.088,-1.7,0.8,0.503,0.0,0.506,0.503,0.653,324.0,
1981.0,Charlie Criss,PG,32.0,ATL,66.0,1708.0,13.0,0.54,0.043,0.441,1.7,5.0,23.8,1.7,0.1,18.8,17.3,1.8,0.7,2.5,0.07,-0.7,-2.3,0.454,0.048,0.472,0.455,0.864,87.0,2.1
1981.0,Coby Dietrick,C,32.0,CHI,82.0,1243.0,11.8,0.503,0.019,0.347,7.6,16.4,12.6,1.8,2.4,19.3,15.0,0.5,1.5,2.1,0.08,-1.8,1.4,0.456,0.333,0.459,0.459,0.694,176.0,
1981.0,Julius Erving,SF,30.0,PHI,82.0,2874.0,25.1,0.572,0.012,0.352,10.0,14.6,19.8,2.8,2.8,13.1,28.4,7.8,6.1,13.8,0.231,4.9,3.1,0.521,0.222,0.525,0.522,0.787,233.0,13.3
1981.0,Chris Ford,SG,32.0,BOS,82.0,2723.0,8.8,0.488,0.154,0.123,3.1,3.7,13.7,1.7,0.5,14.6,13.0,1.3,2.4,3.7,0.066,-0.7,0.2,0.444,0.33,0.465,0.47,0.736,212.0,2.1
1981.0,Mike Gale,PG,30.0,TOT,77.0,1112.0,13.7,0.547,0.023,0.22,1.6,8.0,19.6,3.9,0.3,18.5,14.8,1.0,1.4,2.4,0.105,-0.9,0.4,0.508,0.286,0.513,0.511,0.809,117.0,2.4
1981.0,Artis Gilmore,C,31.0,CHI,82.0,2832.0,21.7,0.699,0.0,0.652,9.2,23.5,8.9,0.8,4.0,18.4,18.5,8.4,3.9,12.3,0.208,3.1,1.7,0.67,,0.67,0.67,0.705,295.0,12.1
1981.0,Steve Hawes,C,30.0,ATL,74.0,2309.0,14.7,0.585,0.006,0.436,8.1,19.9,10.7,1.5,0.8,17.5,16.5,3.4,2.3,5.7,0.119,0.7,1.0,0.523,0.25,0.524,0.524,0.799,289.0,3.2
1981.0,Elvin Hayes,PF,35.0,WSB,81.0,2931.0,14.9,0.483,0.008,0.339,8.4,20.0,4.8,1.1,3.2,11.3,23.0,0.1,4.9,5.1,0.083,-2.1,1.7,0.451,0.0,0.454,0.451,0.617,300.0,5.1
1981.0,Gar Heard,PF,32.0,SDC,78.0,1631.0,10.9,0.428,0.018,0.255,8.2,17.1,9.5,3.1,2.6,15.5,13.0,-0.2,2.2,2.0,0.059,-2.6,3.5,0.376,0.0,0.383,0.376,0.782,196.0,
1981.0,Dan Issel,C,32.0,DEN,80.0,2641.0,21.7,0.575,0.01,0.561,8.6,17.7,8.4,1.4,1.0,7.9,23.2,8.9,1.6,10.5,0.19,3.7,-1.4,0.503,0.167,0.507,0.504,0.759,249.0,9.8
1981.0,George Johnson,C,32.0,SAS,82.0,1935.0,13.5,0.517,0.0,0.314,12.6,20.9,5.8,1.1,7.7,21.8,10.4,1.1,3.4,4.5,0.112,-1.6,4.8,0.473,,0.473,0.473,0.734,273.0,2.5
1981.0,John Johnson,SF,33.0,SEA,80.0,2324.0,11.3,0.479,0.001,0.247,6.5,10.5,19.6,1.2,0.6,19.3,20.9,-0.8,2.0,1.2,0.025,-1.7,-0.1,0.431,0.0,0.431,0.431,0.808,202.0,
1981.0,Caldwell Jones,C,30.0,PHI,81.0,2639.0,10.1,0.512,0.0,0.398,8.9,23.6,5.5,0.9,2.8,22.8,11.3,0.1,5.4,5.5,0.1,-2.7,3.5,0.449,,0.449,0.449,0.767,271.0,5.2
1981.0,Sam Lacey,C,32.0,KCK,82.0,2228.0,13.5,0.483,0.009,0.218,6.6,22.5,22.5,2.0,3.1,23.7,14.3,0.2,3.8,4.0,0.086,-1.9,4.4,0.442,0.2,0.444,0.443,0.786,302.0,
