Year,Tm,Continuity
2022,ATL,85
2022,BOS,79
2022,CHA,67
2022,CHI,51
2022,CLE,58
2022,DAL,88
2022,DEN,92
2022,DET,83
2022,GSW,73
2022,HOU,66
2022,IND,77
2022,LAC,81
2022,LAL,31
2022,MEM,81
2022,MIA,73
2022,MIL,64
2022,MIN,87
2022,BRK,68
2022,NOP,48
2022,NYK,71
2022,OKC,69
2022,ORL,68
2022,PHI,84
2022,PHO,83
2022,POR,80
2022,SAC,79
2022,SAS,81
2022,TOR,58
2022,UTA,84
2022,WAS,40
2021,ATL,48
2021,BOS,73
2021,CHA,79
2021,CHI,69
2021,CLE,54
2021,DAL,79
2021,DEN,70
2021,DET,14
2021,GSW,72
2021,HOU,20
2021,IND,88
2021,LAC,71
2021,LAL,60
2021,MEM,80
2021,MIA,83
2021,MIL,59
2021,MIN,66
2021,BKR,51
2021,NOP,58
2021,NYK,64
2021,OKC,42
2021,ORL,52
2021,PHI,58
2021,PHO,66
2021,POR,60
2021,SAC,67
2021,SAS,90
2021,TOR,68
2021,UTA,90
2021,WAS,52
2020,ATL,49
2020,BOS,70
2020,CHA,65
2020,CHI,56
2020,CLE,70
2020,DAL,68
2020,DEN,80
2020,DET,56
2020,GSW,22
2020,HOU,65
2020,IND,47
2020,LAC,55
2020,LAL,52
2020,MEM,41
2020,MIA,54
2020,MIL,76
2020,MIN,51
2020,NJN,51
2020,NOH,30
2020,NYK,35
2020,OKC,47
2020,ORL,81
2020,PHI,59
2020,PHO,51
2020,POR,55
2020,SAC,67
2020,SAS,80
2020,TOR,82
2020,UTA,61
2020,WAS,40
2019,ATL,45
2019,BOS,96
2019,CHA,79
2019,CHI,64
2019,CLE,59
2019,DAL,61
2019,DEN,98
2019,DET,74
2019,GSW,81
2019,HOU,70
2019,IND,77
2019,LAC,66
2019,LAL,52
2019,MEM,37
2019,MIA,99
2019,MIL,65
2019,MIN,62
2019,BKR,69
2019,NOP,56
2019,NYK,49
2019,OKC,73
2019,ORL,85
2019,PHI,57
2019,PHO,39
2019,POR,82
2019,SAC,58
2019,SAS,63
2019,TOR,67
2019,UTA,92
2019,WAS,49
2018,ATL,51
2018,BOS,41
2018,CHA,73
2018,CHI,51
2018,CLE,53
2018,DAL,74
2018,DEN,80
2018,DET,59
2018,GSW,81
2018,HOU,59
2018,IND,39
2018,LAC,36
2018,LAL,41
2018,MEM,56
2018,MIA,79
2018,MIL,77
2018,MIN,53
2018,BRK,51
2018,NOP,60
2018,NYK,37
2018,OKC,52
2018,ORL,62
2018,PHI,61
2018,PHO,64
2018,POR,93
2018,SAC,44
2018,SAS,87
2018,TOR,84
2018,UTA,51
2018,WAS,82
2017,ATL,68
2017,BOS,79
2017,CHA,80
2017,CHI,46
2017,CLE,83
2017,DAL,50
2017,DEN,71
2017,DET,75
2017,GSW,67
2017,HOU,65
2017,IND,62
2017,LAC,80
2017,LAL,62
2017,MEM,75
2017,MIA,50
2017,MIL,47
2017,MIN,84
2017,BRK,37
2017,NOP,48
2017,NYK,37
2017,OKC,53
2017,ORL,56
2017,PHI,50
2017,PHO,68
2017,POR,85
2017,SAC,47
2017,SAS,69
2017,TOR,84
2017,UTA,70
2017,WAS,77
2016,ATL,87
2016,BOS,85
2016,CHA,51
2016,CHI,90
2016,CLE,84
2016,DAL,55
2016,DEN,70
2016,DET,50
2016,GSW,95
2016,HOU,85
2016,IND,62
2016,LAC,61
2016,LAL,46
2016,MEM,65
2016,MIA,65
2016,MIL,79
2016,MIN,67
2016,BRK,57
2016,NOP,79
2016,NYK,42
2016,OKC,93
2016,ORL,76
2016,PHI,63
2016,PHO,53
2016,POR,47
2016,SAC,52
2016,SAS,69
2016,TOR,62
2016,UTA,77
2016,WAS,75
2015,ATL,88
2015,BOS,50
2015,CHA,61
2015,CHI,64
2015,CLE,39
2015,DAL,38
2015,DEN,62
2015,DET,57
2015,GSW,80
2015,HOU,48
2015,IND,75
2015,LAC,83
2015,LAL,44
2015,MEM,85
2015,MIA,50
2015,MIL,67
2015,MIN,43
2015,BRK,62
2015,NOP,66
2015,NYK,39
2015,OKC,66
2015,ORL,52
2015,PHI,29
2015,PHO,81
2015,POR,80
2015,SAC,70
2015,SAS,98
2015,TOR,82
2015,UTA,61
2015,WAS,72
2014,ATL,53
2014,BOS,59
2014,CHA,64
2014,CHI,69
2014,CLE,60
2014,DAL,48
2014,DEN,62
2014,DET,59
2014,GSW,71
2014,HOU,77
2014,IND,77
2014,LAC,66
2014,LAL,43
2014,MEM,65
2014,MIA,91
2014,MIL,24
2014,MIN,59
2014,BRK,45
2014,NOP,61
2014,NYK,73
2014,OKC,89
2014,ORL,81
2014,PHI,37
2014,PHO,46
2014,POR,65
2014,SAC,53
2014,SAS,83
2014,TOR,68
2014,UTA,62
2014,WAS,77
2013,ATL,52
2013,BOS,53
2013,CHA,49
2013,CHI,63
2013,CLE,55
2013,DAL,39
2013,DEN,82
2013,DET,71
2013,GSW,52
2013,HOU,32
2013,IND,73
2013,LAC,55
2013,LAL,49
2013,MEM,70
2013,MIA,82
2013,MIL,79
2013,MIN,54
2013,BRK,54
2013,NOH,41
2013,NYK,54
2013,OKC,80
2013,ORL,26
2013,PHI,63
2013,PHO,41
2013,POR,57
2013,SAC,81
2013,SAS,95
2013,TOR,55
2013,UTA,73
2013,WAS,47
2012,ATL,72
2012,BOS,65
2012,CHA,57
2012,CHI,93
2012,CLE,64
2012,DAL,71
2012,DEN,64
2012,DET,69
2012,GSW,47
2012,HOU,73
2012,IND,72
2012,LAC,52
2012,LAL,79
2012,MEM,72
2012,MIA,79
2012,MIL,58
2012,MIN,73
2012,NJN,54
2012,NOH,48
2012,NYK,47
2012,OKC,93
2012,ORL,84
2012,PHI,90
2012,PHO,70
2012,POR,59
2012,SAC,58
2012,SAS,79
2012,TOR,78
2012,UTA,77
2012,WAS,69
2011,ATL,88
2011,BOS,76
2011,CHA,70
2011,CHI,49
2011,CLE,58
2011,DAL,79
2011,DEN,72
2011,DET,80
2011,GSW,53
2011,HOU,77
2011,IND,77
2011,LAC,38
2011,LAL,85
2011,MEM,80
2011,MIA,45
2011,MIL,62
2011,MIN,40
2011,NJN,34
2011,NOH,45
2011,NYK,34
2011,OKC,91
2011,ORL,64
2011,PHI,75
2011,PHO,61
2011,POR,78
2011,SAC,61
2011,SAS,82
2011,TOR,59
2011,UTA,50
2011,WAS,47
2010,ATL,80
2010,BOS,79
2010,CHA,59
2010,CHI,72
2010,CLE,71
2010,DAL,63
2010,DEN,76
2010,DET,48
2010,GSW,58
2010,HOU,64
2010,IND,64
2010,LAC,66
2010,LAL,87
2010,MEM,60
2010,MIA,78
2010,MIL,42
2010,MIN,46
2010,NJN,69
2010,NOH,58
2010,NYK,78
2010,OKC,76
2010,ORL,61
2010,PHI,73
2010,PHO,85
2010,POR,70
2010,SAC,58
2010,SAS,61
2010,TOR,38
2010,UTA,86
2010,WAS,59
2009,ATL,79
2009,BOS,94
2009,CHA,52
2009,CHI,73
2009,CLE,78
2009,DAL,91
2009,DEN,66
2009,DET,81
2009,GSW,56
2009,HOU,74
2009,IND,52
2009,LAC,23
2009,LAL,95
2009,MEM,49
2009,MIA,57
2009,MIL,47
2009,MIN,58
2009,NJN,41
2009,NOH,77
2009,NYK,61
2009,OKC,58
2009,ORL,64
2009,PHI,80
2009,PHO,63
2009,POR,72
2009,SAC,66
2009,SAS,77
2009,TOR,78
2009,UTA,92
2009,WAS,74
2008,ATL,76
2008,BOS,50
2008,CHA,66
2008,CHI,76
2008,CLE,78
2008,DAL,75
2008,DEN,95
2008,DET,79
2008,GSW,91
2008,HOU,76
2008,IND,80
2008,LAC,63
2008,LAL,78
2008,MEM,63
2008,MIA,52
2008,MIL,60
2008,MIN,36
2008,NJN,75
2008,NOH,78
2008,NYK,76
2008,OKC,56
2008,ORL,69
2008,PHI,75
2008,PHO,76
2008,POR,74
2008,SAC,67
2008,SAS,87
2008,TOR,71
2008,UTA,88
2008,WAS,89
2007,ATL,72
2007,BOS,75
2007,CHA,72
2007,CHI,65
2007,CLE,92
2007,DAL,77
2007,DEN,66
2007,DET,81
2007,GSW,67
2007,HOU,75
2007,IND,57
2007,LAC,82
2007,LAL,79
2007,MEM,72
2007,MIA,92
2007,MIL,53
2007,MIN,73
2007,NJN,72
2007,NOH,55
2007,NYK,84
2007,OKC,91
2007,ORL,92
2007,PHI,72
2007,PHO,95
2007,POR,52
2007,SAC,85
2007,SAS,84
2007,TOR,37
2007,UTA,74
2007,WAS,81
2006,ATL,50
2006,BOS,72
2006,CHA,66
2006,CHI,82
2006,CLE,63
2006,DAL,82
2006,DEN,84
2006,DET,90
2006,GSW,88
2006,HOU,54
2006,IND,76
2006,LAC,54
2006,LAL,70
2006,MEM,63
2006,MIA,49
2006,MIL,38
2006,MIN,56
2006,NJN,86
2006,NOH,47
2006,NYK,43
2006,OKC,82
2006,ORL,83
2006,PHI,86
2006,PHO,41
2006,POR,61
2006,SAC,62
2006,SAS,82
2006,TOR,54
2006,UTA,66
2006,WAS,66
2005,ATL,11
2005,BOS,67
2005,CHI,46
2005,CLE,55
2005,DAL,51
2005,DEN,64
2005,DET,81
2005,GSW,72
2005,HOU,31
2005,IND,75
2005,LAC,63
2005,LAL,27
2005,MEM,91
2005,MIA,50
2005,MIL,65
2005,MIN,86
2005,NJN,43
2005,NOH,35
2005,NYK,66
2005,OKC,84
2005,ORL,11
2005,PHI,71
2005,PHO,59
2005,POR,69
2005,SAC,63
2005,SAS,76
2005,TOR,66
2005,UTA,54
2005,WAS,74
2004,ATL,52
2004,BOS,50
2004,CHI,49
2004,CLE,44
2004,DAL,49
2004,DEN,38
2004,DET,78
2004,GSW,45
2004,HOU,70
2004,IND,84
2004,LAC,63
2004,LAL,62
2004,MEM,68
2004,MIA,44
2004,MIL,50
2004,MIN,27
2004,NJN,95
2004,NOH,76
2004,NYK,52
2004,OKC,84
2004,ORL,42
2004,PHI,65
2004,PHO,75
2004,POR,77
2004,SAC,69
2004,SAS,62
2004,TOR,38
2004,UTA,58
2004,WAS,65
2003,ATL,74
2003,BOS,78
2003,CHI,69
2003,CLE,55
2003,DAL,86
2003,DEN,38
2003,DET,64
2003,GSW,85
2003,HOU,69
2003,IND,92
2003,LAC,66
2003,LAL,93
2003,MEM,61
2003,MIA,66
2003,MIL,69
2003,MIN,68
2003,NJN,89
2003,NYK,92
2003,OKC,76
2003,ORL,68
2003,PHI,54
2003,PHO,73
2003,POR,81
2003,SAC,81
2003,SAS,81
2003,TOR,67
2003,UTA,62
2003,WAS,61
2002,ATL,61
2002,BOS,79
2002,CHA,79
2002,CHI,45
2002,CLE,62
2002,DAL,70
2002,DEN,66
2002,DET,63
2002,GSW,72
2002,HOU,70
2002,IND,73
2002,LAC,81
2002,LAL,79
2002,MEM,27
2002,MIA,51
2002,MIL,81
2002,MIN,79
2002,NJN,41
2002,NOH,80
2002,NYK,80
2002,OKC,70
2002,ORL,78
2002,PHI,51
2002,PHO,53
2002,POR,71
2002,SAC,83
2002,SAS,59
2002,TOR,90
2002,UTA,76
2002,WAS,67
2001,ATL,64
2001,BOS,65
2001,CHA,55
2001,CHI,47
2001,CLE,41
2001,DAL,67
2001,DEN,70
2001,DET,40
2001,GSW,62
2001,HOU,88
2001,IND,84
2001,LAC,54
2001,LAL,72
2001,VAN,70
2001,MIA,45
2001,MIL,75
2001,MIN,73
2001,NJN,61
2001,NOH,76
2001,NYK,76
2001,OKC,79
2001,ORL,56
2001,PHI,90
2001,PHO,63
2001,POR,81
2001,SAC,71
2001,SAS,75
2001,TOR,64
2001,UTA,66
2001,WAS,68
2000,ATL,45
2000,BOS,68
2000,CHA,67
2000,CHI,28
2000,CLE,67
2000,DAL,85
2000,DEN,57
2000,DET,77
2000,GSW,51
2000,HOU,35
2000,IND,98
2000,LAC,61
2000,LAL,69
2000,VAN,52
2000,MIA,81
2000,MIL,83
2000,MIN,87
2000,NJN,86
2000,NYK,94
2000,OKC,44
2000,ORL,33
2000,PHI,84
2000,PHO,56
2000,POR,63
2000,SAC,76
2000,SAS,83
2000,TOR,72
2000,UTA,79
2000,WAS,63
1999,ATL,68
1999,BOS,61
1999,CHA,36
1999,CHI,58
1999,CLE,78
1999,DAL,67
1999,DEN,41
1999,DET,83
1999,GSW,58
1999,HOU,47
1999,IND,92
1999,LAC,65
1999,LAL,66
1999,VAN,52
1999,MIA,77
1999,MIL,60
1999,MIN,50
1999,NJN,59
1999,NYK,69
1999,OKC,69
1999,ORL,70
1999,PHI,54
1999,PHO,62
1999,POR,83
1999,SAC,29
1999,SAS,71
1999,TOR,58
1999,UTA,91
1999,WAS,63
1998,ATL,86
1998,BOS,37
1998,CHA,58
1998,CHI,92
1998,CLE,19
1998,DAL,67
1998,DEN,28
1998,DET,65
1998,GSW,39
1998,HOU,95
1998,IND,86
1998,LAC,71
1998,LAL,83
1998,VAN,63
1998,MIA,84
1998,MIL,51
1998,MIN,80
1998,NJN,63
1998,NYK,80
1998,OKC,62
1998,ORL,63
1998,PHI,48
1998,PHO,66
1998,POR,64
1998,SAC,54
1998,SAS,59
1998,TOR,67
1998,UTA,98
1998,WAS,84
1997,ATL,50
1997,BOS,69
1997,CHA,51
1997,CHI,97
1997,CLE,87
1997,DAL,26
1997,DEN,55
1997,DET,84
1997,GSW,68
1997,HOU,46
1997,IND,81
1997,LAC,78
1997,LAL,49
1997,VAN,39
1997,MIA,56
1997,MIL,54
1997,MIN,59
1997,NJN,42
1997,NOH,49
1997,NYK,49
1997,OKC,78
1997,ORL,62
1997,PHI,53
1997,PHO,59
1997,POR,52
1997,SAC,87
1997,SAS,75
1997,TOR,50
1997,UTA,92
1997,WAS,59
