Year,Tm,TmNetRtg
1997,CHI,11.8
1997,UTA,9.8
1997,SEA,8.5
1997,ATL,6.2
1997,MIA,6.0
1997,DET,5.9
1997,HOU,4.7
1997,POR,4.2
1997,LAL,4.2
1997,NYK,3.4
1997,CHA,2.1
1997,CLE,1.9
1997,WAS,1.5
1997,IND,1.3
1997,PHX,0.9
1997,ORL,-0.5
1997,MIN,-1.7
1997,MIL,-2.0
1997,LAC,-2.8
1997,TOR,-3.5
1997,SAC,-3.7
1997,NJN,-4.8
1997,GSW,-5.0
1997,DAL,-6.5
1997,DEN,-6.6
1997,PHI,-6.9
1997,BOS,-7.2
1997,SAS,-8.8
1997,VAN,-11.0
1998,LAL,8.1
1998,SEA,7.9
1998,CHI,7.8
1998,UTA,7.2
1998,IND,6.8
1998,PHX,5.6
1998,MIA,5.2
1998,SAS,4.4
1998,ATL,4.0
1998,CLE,2.8
1998,NYK,2.7
1998,CHA,2.2
1998,POR,1.6
1998,DET,1.6
1998,NJN,1.5
1998,MIN,0.8
1998,WAS,0.7
1998,HOU,-0.9
1998,ORL,-1.2
1998,MIL,-2.2
1998,PHI,-2.3
1998,BOS,-2.7
1998,SAC,-5.9
1998,DAL,-6.3
1998,LAC,-7.7
1998,VAN,-7.8
1998,TOR,-9.5
1998,GSW,-9.6
1998,DEN,-13.2
1999,SAS,9.1
1999,UTA,7.4
1999,POR,6.6
1999,MIA,5.8
1999,IND,4.3
1999,DET,4.0
1999,LAL,3.3
1999,ATL,3.1
1999,ORL,2.6
1999,HOU,2.5
1999,PHI,2.4
1999,PHX,2.2
1999,MIL,1.8
1999,NYK,1.2
1999,MIN,0.5
1999,CHA,0.0
1999,SAC,-0.4
1999,SEA,-0.9
1999,CLE,-1.9
1999,TOR,-1.9
1999,BOS,-2.1
1999,WAS,-2.3
1999,DAL,-2.7
1999,GSW,-2.9
1999,NJN,-4.2
1999,DEN,-7.3
1999,VAN,-9.3
1999,LAC,-9.6
1999,CHI,-10.4
2000,LAL,9.0
2000,POR,6.9
2000,SAS,6.4
2000,PHX,5.4
2000,IND,5.1
2000,UTA,4.6
2000,MIA,3.1
2000,SAC,2.9
2000,CHA,2.8
2000,MIN,2.5
2000,PHI,1.5
2000,NYK,1.5
2000,DET,1.4
2000,SEA,1.0
2000,ORL,0.8
2000,MIL,0.3
2000,TOR,-0.1
2000,DAL,-0.5
2000,HOU,-0.8
2000,BOS,-1.1
2000,NJN,-1.1
2000,DEN,-2.3
2000,WAS,-3.4
2000,CLE,-3.5
2000,ATL,-5.7
2000,VAN,-6.0
2000,GSW,-8.4
2000,CHI,-10.0
2000,LAC,-11.9
2001,SAS,8.3
2001,SAC,5.7
2001,UTA,5.2
2001,PHI,4.6
2001,DAL,4.4
2001,MIL,4.2
2001,POR,4.2
2001,LAL,3.5
2001,NYK,3.0
2001,HOU,2.4
2001,TOR,2.3
2001,MIA,2.3
2001,PHX,2.3
2001,CHA,2.1
2001,MIN,1.6
2001,ORL,1.0
2001,SEA,0.2
2001,IND,-0.2
2001,DET,-1.8
2001,BOS,-2.2
2001,DEN,-2.8
2001,LAC,-2.9
2001,CLE,-4.2
2001,NJN,-5.4
2001,ATL,-5.5
2001,VAN,-6.0
2001,WAS,-6.8
2001,GSW,-9.2
2001,CHI,-10.0
2002,SAC,8.1
2002,LAL,7.6
2002,SAS,6.9
2002,DAL,4.3
2002,NJN,4.3
2002,MIN,3.4
2002,POR,3.3
2002,SEA,3.3
2002,DET,2.3
2002,BOS,2.2
2002,PHI,1.8
2002,ORL,1.5
2002,CHA,1.2
2002,UTA,0.9
2002,IND,0.4
2002,MIL,-0.3
2002,LAC,-0.4
2002,TOR,-0.6
2002,PHX,-0.7
2002,WAS,-1.6
2002,MIA,-1.7
2002,CLE,-3.6
2002,NYK,-4.2
2002,ATL,-4.4
2002,HOU,-5.4
2002,GSW,-5.6
2002,DEN,-6.3
2002,MEM,-8.0
2002,CHI,-9.1
2003,DAL,8.3
2003,SAC,6.6
2003,SAS,5.8
2003,NJN,5.4
2003,DET,4.2
2003,IND,3.5
2003,POR,2.7
2003,PHI,2.6
2003,UTA,2.6
2003,NOH,2.4
2003,MIN,2.2
2003,LAL,2.2
2003,HOU,1.5
2003,PHX,1.3
2003,MIL,0.3
2003,ORL,0.0
2003,SEA,-0.2
2003,BOS,-0.6
2003,WAS,-1.1
2003,GSW,-1.3
2003,NYK,-1.3
2003,MEM,-3.5
2003,ATL,-3.8
2003,LAC,-4.0
2003,CHI,-5.1
2003,MIA,-5.8
2003,TOR,-6.3
2003,DEN,-8.9
2003,CLE,-9.9
2004,SAS,7.9
2004,DET,6.5
2004,IND,6.3
2004,MIN,5.7
2004,SAC,5.4
2004,DAL,4.5
2004,LAL,4.1
2004,MEM,2.6
2004,NJN,2.6
2004,HOU,1.9
2004,MIL,1.1
2004,DEN,1.0
2004,MIA,0.3
2004,NOH,0.1
2004,SEA,-0.8
2004,GSW,-1.1
2004,UTA,-1.3
2004,POR,-1.5
2004,BOS,-1.5
2004,NYK,-1.6
2004,CLE,-2.6
2004,PHI,-2.6
2004,TOR,-3.4
2004,PHX,-3.8
2004,LAC,-4.7
2004,ATL,-4.8
2004,WAS,-5.7
2004,CHI,-6.5
2004,ORL,-7.4
2005,SAS,8.3
2005,PHX,7.0
2005,MIA,6.7
2005,DAL,5.9
2005,DET,4.3
2005,HOU,4.3
2005,MEM,2.7
2005,SEA,2.3
2005,SAC,2.3
2005,DEN,2.2
2005,MIN,1.6
2005,CHI,1.4
2005,IND,1.0
2005,BOS,0.8
2005,CLE,0.6
2005,WAS,-0.4
2005,PHI,-0.7
2005,LAC,-0.8
2005,NJN,-1.7
2005,TOR,-1.8
2005,GSW,-2.2
2005,ORL,-2.3
2005,NYK,-2.7
2005,MIL,-3.0
2005,LAL,-3.2
2005,POR,-4.3
2005,UTA,-4.4
2005,CHA,-6.2
2005,NOH,-7.7
2005,ATL,-10.2
2006,DET,7.6
2006,SAS,7.5
2006,DAL,6.7
2006,PHX,5.4
2006,MEM,4.1
2006,MIA,4.1
2006,LAL,2.6
2006,CLE,2.1
2006,IND,2.0
2006,WAS,1.9
2006,SAC,1.8
2006,LAC,1.6
2006,NJN,1.5
2006,CHI,0.7
2006,DEN,0.3
2006,MIL,-1.0
2006,ORL,-1.3
2006,GSW,-1.4
2006,BOS,-1.5
2006,HOU,-1.7
2006,PHI,-1.8
2006,MIN,-2.0
2006,UTA,-2.7
2006,NOP,-2.8
2006,TOR,-3.2
2006,SEA,-3.3
2006,CHA,-4.4
2006,ATL,-5.3
2006,NYK,-6.6
2006,POR,-10.7
2007,SAS,9.2
2007,DAL,7.6
2007,PHX,7.4
2007,CHI,5.2
2007,HOU,4.9
2007,DET,4.8
2007,CLE,3.8
2007,UTA,3.0
2007,DEN,1.7
2007,TOR,1.2
2007,ORL,0.8
2007,LAL,-0.2
2007,GSW,-0.3
2007,WAS,-0.4
2007,LAC,-0.4
2007,NJN,-0.9
2007,MIA,-1.2
2007,SAC,-1.6
2007,NOP,-1.6
2007,IND,-2.5
2007,SEA,-3.0
2007,NYK,-3.1
2007,PHI,-3.2
2007,BOS,-3.5
2007,CHA,-3.9
2007,MIN,-4.0
2007,MIL,-4.3
2007,POR,-4.8
2007,ATL,-5.1
2007,MEM,-5.2
2008,BOS,10.8
